2023-06-25 14:22:01, alice_smith, 192.168.1.10, login_attempt, FAILED
2023-06-25 15:10:45, bob_jones, 192.168.1.20, access_denied, FAILED
2023-06-25 16:55:12, charlotte_doe, 192.168.1.30, login_attempt, SUCCESS
2023-06-25 17:41:23, david_brown, 192.168.1.40, access_granted, SUCCESS
2023-06-25 18:30:17, emily_wilson, 192.168.1.50, login_attempt, FAILED
2023-06-25 19:28:54, frank_adams, 192.168.1.60, access_denied, FAILED
2023-06-25 20:15:39, grace_thomas, 192.168.1.70, login_attempt, SUCCESS
2023-06-25 21:09:22, henry_taylor, 192.168.1.80, access_granted, SUCCESS
2023-06-25 22:03:18, isabella_anderson, 192.168.1.90, login_attempt, FAILED
2023-06-25 23:58:34, jack_roberts, 192.168.1.100, access_denied, FAILED
2023-06-26 00:50:20, kate_clark, 192.168.1.110, login_attempt, SUCCESS
2023-06-26 01:45:12, luke_miller, 192.168.1.120, access_granted, SUCCESS
2023-06-26 02:31:09, matthew_harris, 192.168.1.130, login_attempt, FAILED
2023-06-26 03:21:59, natalie_thompson, 192.168.1.140, access_denied, FAILED
2023-06-26 04:10:04, oliver_davis, 192.168.1.150, login_attempt, SUCCESS
2023-06-26 05:00:29, penelope_wilson, 192.168.1.160, access_granted, SUCCESS
2023-06-26 06:02:17, quinn_martin, 192.168.1.170, login_attempt, FAILED
2023-06-26 07:15:53, rachel_moore, 192.168.1.180, access_denied, FAILED
2023-06-26 08:20:25, samuel_thomas, 192.168.1.190, login_attempt, SUCCESS
2023-06-26 09:30:02, sophia_murphy, 192.168.1.200, access_granted, SUCCESS
2023-06-26 10:40:49, thomas_anderson, 192.168.1.210, login_attempt, FAILED
2023-06-26 11:55:17, victoria_clark, 192.168.1.220, access_denied, FAILED
2023-06-26 13:10:45, william_white, 192.168.1.230, login_attempt, SUCCESS
2023-06-26 14:25:34, xavier_johnson, 192.168.1.240, access_granted, SUCCESS
2023-06-26 15:40:22, yasmine_rodriguez, 192.168.1.250, login_attempt, FAILED
2023-06-26 16:55:18, zachary_lee, 192.168.1.260, access_denied, FAILED
2023-06-26 18:10:15, amber_carter, 192.168.1.270, login_attempt, SUCCESS
2023-06-26 19:25:10, benjamin_garcia, 192.168.1.280, access_granted, SUCCESS
2023-06-26 20:40:05, chloe_martinez, 192.168.1.290, login_attempt, FAILED
2023-06-26 21:55:01, daniel_rodriguez, 192.168.1.300, access_denied, FAILED
2023-06-26 23:10:57, elizabeth_hernandez, 192.168.1.310, login_attempt, SUCCESS
2023-06-27 00:25:53, francisco_gonzalez, 192.168.1.320, access_granted, SUCCESS
2023-06-27 01:40:49, gabriella_lopez, 192.168.1.330, login_attempt, FAILED
2023-06-27 02:55:45, hector_perez, 192.168.1.340, access_denied, FAILED
2023-06-27 04:10:41, isabel_ramirez, 192.168.1.350, login_attempt, SUCCESS
2023-06-27 05:25:37, javier_gutierrez, 192.168.1.360, access_granted, SUCCESS
2023-06-27 06:40:33, kristen_rodriguez, 192.168.1.370, login_attempt, FAILED
2023-06-27 07:55:29, leonardo_gomez, 192.168.1.380, access_denied, FAILED
2023-06-27 09:10:25, maria_sanchez, 192.168.1.390, login_attempt, SUCCESS
2023-06-27 10:25:21, nicholas_diaz, 192.168.1.400, access_granted, SUCCESS
2023-06-27 11:40:17, olivia_torres, 192.168.1.410, login_attempt, FAILED
2023-06-27 12:55:13, pedro_ruiz, 192.168.1.420, access_denied, FAILED
2023-06-27 14:10:09, quinn_gonzalez, 192.168.1.430, login_attempt, SUCCESS
2023-06-27 15:25:05, rachel_lopez, 192.168.1.440, access_granted, SUCCESS
2023-06-27 16:40:01, samuel_rodriguez, 192.168.1.450, login_attempt, FAILED
2023-06-27 17:54:57, taylor_hernandez, 192.168.1.460, access_denied, FAILED
2023-06-27 19:09:53, victoria_martinez, 192.168.1.470, login_attempt, SUCCESS
2023-06-27 20:24:49, william_garcia, 192.168.1.480, access_granted, SUCCESS
2023-06-27 21:39:45, xavier_perez, 192.168.1.490, login_attempt, FAILED
2023-06-27 22:54:41, yasmine_hernandez, 192.168.1.500, access_denied, FAILED
2023-06-27 00:09:37, zachary_gutierrez, 192.168.1.510, login_attempt, SUCCESS
2023-06-27 01:24:33, anna_ramirez, 192.168.1.520, access_granted, SUCCESS
2023-06-27 02:39:29, benjamin_gomez, 192.168.1.530, login_attempt, FAILED
2023-06-27 03:54:25, camila_sanchez, 192.168.1.540, access_denied, FAILED
2023-06-27 05:09:21, daniel_diaz, 192.168.1.550, login_attempt, SUCCESS
2023-06-27 06:24:17, emma_torres, 192.168.1.560, access_granted, SUCCESS
2023-06-27 07:39:13, francisco_gonzalez, 192.168.1.570, login_attempt, FAILED
2023-06-27 08:54:09, gabriella_lopez, 192.168.1.580, access_denied, FAILED
2023-06-27 10:09:05, hector_hernandez, 192.168.1.590, login_attempt, SUCCESS
2023-06-27 11:24:01, isabella_martinez, 192.168.1.600, access_granted, SUCCESS
